PID,task_no,condition,whole,early,mid,late,late_browser_dur,late_total_dur,late_any,span,n_fix,bug,correct
P26,1,control,0.12816179880181414,0.1298028259795267,0.061633275411374235,0.18359336244642782,0.5523591471354167,3.0086008544921876,1,25.130584598795572,3293,math63,N
P26,2,overfitting,0.10626059449831957,0.12465004502236524,0.04035472202876847,0.15479352873697735,0.4852757486979167,3.134987312825521,1,25.16962149658203,3374,math33,N
P26,3,correct,0.10740200268782715,0.0,0.01159550707622582,0.2688610423487417,0.6374967325846355,2.371101171875,1,19.59255439860026,2459,chart12,Y
P27,1,overfitting,0.0,0.0,0.0,0.0,0.0,2.791795340983073,0,25.090998266601563,3393,chart12,N
P27,2,control,0.0,0.0,0.0,0.0,0.0,4.040538606770833,0,25.15059338378906,3855,math33,N
P27,3,correct,0.06441487220274084,0.0,0.19206728176923124,0.0,0.0,3.0952656575520834,0,25.227686551920574,4205,lang10,Y
P28,1,overfitting,0.21247725918336968,0.22126249077634313,0.0,0.4278752070427258,1.0241600463867186,2.39359521077474,1,10.982286832682291,2418,lang10,N
P28,2,correct,0.0,0.0,0.0,0.0,0.0,1.9235994791666666,0,8.969664501953124,1910,chart12,Y
P29,1,correct,0.24135535865642085,0.11390045525417357,0.17984695157105085,0.39561244886479546,2.5347089111328125,6.407050431315104,1,25.146524149576823,4357,math50,Y
P29,2,overfitting,0.22069986115578527,0.2733514454903387,0.26759536415580126,0.10275963148763118,0.5037483072916666,4.902200406901041,1,25.10403164876302,4468,math33,N
P29,3,control,0.02803365320381862,0.013775820398819959,0.06956336371086691,0.0,0.0,4.6621986328125,0,20.600860782877604,3777,math63,N
P3,1,overfitting,0.07797761307932809,0.11453177708092059,0.0,0.12170903237673235,0.6298572102864584,5.17510654703776,1,23.758041451009113,4905,chart12,Y
P3,2,control,0.010625440393847082,0.030599844719871552,0.0,0.0,0.0,5.319278527832031,0,25.1184701171875,5131,math50,N
P3,3,correct,0.0077693848614759945,0.0209796402190283,0.0,0.0,0.0,3.647064208984375,0,18.937534134928384,3751,math63,Y
P30,1,correct,0.0,0.0,0.0,0.0,0.0,1.1612400716145834,0,4.80774384765625,1029,chart12,Y
P30,2,control,0.046392412807137746,0.002688265434605626,0.04872083307945019,0.09140582371862799,0.5344420939127604,5.846915132649739,1,25.116943249511717,5603,lang10,N
P30,3,overfitting,0.13433232990552998,0.018202471782494452,0.0,0.40705543790061116,0.6298581013997396,1.5473521362304687,1,6.466210681152344,1274,math50,N
P31,1,control,0.0,0.0,0.0,0.0,0.0,0.9198547078450521,0,5.858985530598958,1092,chart12,Y
P31,2,correct,0.049799096413661065,0.0,0.13331714021471208,0.015040015484859923,0.04236037190755208,2.816511189778646,1,18.914602001953124,3761,math33,Y
P31,3,overfitting,0.021373019644596158,0.066887977619517,0.0,0.0,0.0,4.197061446126302,0,25.16234443359375,5046,math50,N
P32,1,control,0.06678882719604508,0.0,0.0,0.2298904161063017,0.8554113321940104,3.720952559407552,1,25.12068076578776,5576,math50,Y
P32,3,correct,0.0,0.0,0.0,0.0,0.0,1.0999956380208333,0,7.472450284830729,1724,math63,Y
P33,1,overfitting,0.04077606616555773,0.13587809194026004,0.0,0.0,0.0,2.356929256184896,0,8.811467830403647,1879,chart12,N
P33,2,control,0.030163724049324655,0.029521897651248276,0.025967210571407672,0.03514455246320979,0.2187492431640625,6.224271695963542,1,25.13332028401693,4795,lang10,N
P33,3,correct,0.11619764448126041,0.05206835345585108,0.1807638054967413,0.11829513078583058,0.5981920939127604,5.056776977539062,1,19.618909297688802,4226,math63,Y
P34,1,overfitting,0.0,0.0,0.0,0.0,0.0,4.450949255371094,0,18.539750598144533,3946,math63,Y
P34,2,correct,0.0,0.0,0.0,0.0,0.0,2.447069934082031,0,9.176755301920572,2079,chart12,Y
P34,3,control,0.0,0.0,0.0,0.0,0.0,6.515799536132812,0,25.12709384765625,5491,math33,N
P35,1,correct,0.18256530041569252,0.17656619002331858,0.24604287034934544,0.11604900024336906,0.49721859537760416,4.284557336425781,1,20.96403399658203,4148,lang10,Y
P35,2,overfitting,0.13576324333795506,0.3920981774321056,0.0,0.020979228165615947,0.08236046956380208,3.9258102783203124,1,17.238506083170574,3328,math33,N
P35,3,control,0.12808552161417777,0.0,0.015092871065452646,0.3911287554586773,2.285264636230469,5.842742586263021,1,25.14970948486328,5274,math50,N
P36,1,correct,0.03838901337949398,0.02168820193127739,0.0,0.09484510938482046,0.49624798583984375,5.232193721516927,1,22.91888251546224,4741,math63,N
P36,2,control,0.011058852994619317,0.032315601550736484,0.0,0.0,0.0,1.2286031494140626,0,5.395102465820313,1243,chart12,Y
P36,3,overfitting,0.22013165013069502,0.32661191329750294,0.18612739094349456,0.14097340199999375,0.7780514770507813,5.519136702473959,1,25.12470801595052,5585,math33,N
P37,1,control,0.09343598858562097,0.030383279488738795,0.03579910371401688,0.2134003537805293,1.121383231608073,5.254833048502604,1,19.803219401041666,4451,chart12,Y
P37,2,correct,0.027294437594736595,0.08100028843379939,0.0,0.0,0.0,6.227609973144531,0,25.13903653157552,5380,lang10,N
P37,3,overfitting,0.07503492898263371,0.15514287238702218,0.025300007604720426,0.045039060768570664,0.2915264363606771,6.472746797688802,1,25.113755399576824,5464,math50,N
P4,1,overfitting,0.1038414071435028,0.16368679060411717,0.0,0.14915512470760606,0.593468924967448,3.978870495605469,1,15.464644799804688,3512,math63,Y
P4,2,correct,0.25979185466692123,0.08112792696374967,0.490514307567908,0.21951743655897793,0.7251359944661459,3.3033184326171874,1,13.060636185709635,3068,chart12,Y
P4,3,control,0.14283188881819722,0.3620068278767818,0.07074529660515944,0.0,0.0,6.625248380533854,0,25.170860233561196,5999,lang10,N
P5,1,control,0.08208735056295562,0.16500319171258546,0.0,0.0860140855565337,0.18458294677734374,2.145961857096354,1,19.4317026163737,3165,math63,N
P5,2,overfitting,0.011225154016516376,0.031250035068700624,0.0,0.0,0.0,1.6270749552408854,0,15.55963768310547,2564,lang10,N
